Cenario,Band,RTT,Sent,Retrans,Lost,Time
463,1.229,0.0898,14201,1104,4,139.806
464,1.619,0.0964,14203,1037,4,106.131
465,1.677,0.0866,14201,933,3,102.459
466,1.697,0.1054,14202,978,4,107.460
467,1.721,0.0972,14203,1066,4,99.842
468,1.922,0.0988,14203,1036,4,89.411
469,2.088,0.0965,14201,753,3,82.293
470,2.243,0.0908,14201,1018,3,76.612
471,2.272,0.1117,14201,803,3,75.629
472,2.274,0.0899,14202,949,3,75.564
473,2.480,0.1053,14201,906,3,69.295
474,2.584,0.1104,14201,891,3,66.502
475,2.598,0.0864,14201,887,3,66.145
476,2.653,0.0919,14201,875,3,64.772
477,2.675,0.0933,14200,873,3,64.238
478,2.774,0.0852,14201,814,3,61.943
479,2.984,0.4043,14201,718,3,59.425
480,3.237,0.0875,14200,543,2,53.085
481,3.270,0.1040,14200,685,3,52.551
482,3.311,0.1012,14201,603,2,51.900
483,3.354,0.8386,14201,608,2,51.235
484,3.420,0.7550,14201,582,2,50.248
485,3.448,0.9734,14201,584,2,49.840
486,3.557,0.0807,14201,572,2,48.311
487,3.627,0.0920,14201,562,2,47.380
488,3.674,0.8434,14200,580,2,46.777
489,3.787,0.1002,14201,538,2,45.380
490,3.814,0.0864,14201,496,2,45.056
491,3.893,0.0973,14201,589,2,44.145
492,4.114,0.0900,14201,598,2,41.773
493,4.376,0.0883,14201,597,2,39.273
494,4.456,0.9868,14201,431,2,38.567
495,4.498,0.0900,14201,530,2,38.207
496,4.545,0.0824,14201,573,2,37.813
497,4.675,0.0966,14201,558,2,36.762
498,4.744,0.0904,14201,576,2,36.226
499,4.793,0.0829,14201,581,2,35.857
500,4.817,0.0920,14201,535,2,35.677
501,4.822,0.1031,14200,538,2,35.639
502,4.828,0.0970,14201,575,2,35.597
503,4.874,0.1004,14201,589,2,35.264
504,4.961,0.6463,14201,581,2,34.642
